"date","year","month","rain","sixmnthtot","index","indexBelowThreshold","count","count2","sums","sums2"
1886-01-01,1886,1,28.35,152.65,-3.26153846153846,-3.26153846153846,7,7,-21.7653552554316,-21.7653552554316
1886-02-01,1886,2,7.4,141.8,-3.44615384615385,-3.44615384615385,8,8,-25.2115091015854,-25.2115091015854
1886-03-01,1886,3,1,103.9,-3.87692307692308,-3.87692307692308,9,9,-29.0884321785085,-29.0884321785085
1886-04-01,1886,4,19.7,100.15,-3.75384615384615,-3.75384615384615,10,10,-32.8422783323547,-32.8422783323547
1886-05-01,1886,5,43.5,129.55,-3.44615384615385,-3.44615384615385,11,11,-36.2884321785085,-36.2884321785085
1886-06-01,1886,6,16.85,116.8,-3.63358778625954,-3.63358778625954,12,12,-39.9220199647681,-39.9220199647681
1886-07-01,1886,7,25.95,114.4,-3.81679389312977,-3.81679389312977,13,13,-43.7388138578978,-43.7388138578978
1886-08-01,1886,8,100.1,207.1,-1.12977099236641,-1.12977099236641,14,14,-44.8685848502642,-44.8685848502642
1886-09-01,1886,9,14.5,220.6,-1.06870229007634,-1.06870229007634,15,15,-45.9372871403406,-45.9372871403406
1886-10-01,1886,10,51,251.9,-0.0305343511450382,0,0,16,0,-45.9678214914856
1886-11-01,1886,11,122.05,330.45,2.41221374045802,0,0,0,0,0
1886-12-01,1886,12,124.95,438.55,3.26717557251908,0,0,0,0,0
1887-01-01,1887,1,105.65,518.25,3.38461538461539,0,0,0,0,0
1887-02-01,1887,2,91.2,509.35,3.26153846153846,0,0,0,0,0
1887-03-01,1887,3,149.1,643.95,3.50769230769231,0,0,0,0,0
1887-04-01,1887,4,37.95,630.9,3.56923076923077,0,0,0,0,0
1887-05-01,1887,5,17.1,525.95,3.44615384615385,0,0,0,0,0
1887-06-01,1887,6,41.5,442.5,3.14503816793893,0,0,0,0,0
1887-07-01,1887,7,41.6,378.45,2.77862595419847,0,0,0,0,0
1887-08-01,1887,8,68.75,356,2.7175572519084,0,0,0,0,0
1887-09-01,1887,9,14.85,221.75,-1.00763358778626,-1.00763358778626,1,1,-1.00763358778626,-1.00763358778626
1887-10-01,1887,10,35.85,219.65,-1.00763358778626,-1.00763358778626,2,2,-2.01526717557252,-2.01526717557252
1887-11-01,1887,11,56.75,259.3,0.33587786259542,0,0,0,0,0
1887-12-01,1887,12,133.55,351.35,2.16793893129771,0,0,0,0,0
1888-01-01,1888,1,21.7,331.45,1.47692307692308,0,0,0,0,0
1888-02-01,1888,2,64.9,327.6,1.16923076923077,0,0,0,0,0
1888-03-01,1888,3,15.15,327.9,1.29230769230769,0,0,0,0,0
1888-04-01,1888,4,0.4,292.45,0.984615384615385,0,0,0,0,0
1888-05-01,1888,5,30.8,266.5,0.246153846153846,0,0,0,0,0
1888-06-01,1888,6,11.6,144.55,-3.32824427480916,-3.32824427480916,1,1,-3.32824427480916,-3.32824427480916
1888-07-01,1888,7,16.35,139.2,-3.20610687022901,-3.20610687022901,2,2,-6.53435114503817,-6.53435114503817
1888-08-01,1888,8,8.25,82.55,-4,-4,3,3,-10.5343511450382,-10.5343511450382
1888-09-01,1888,9,44.65,112.05,-3.81679389312977,-3.81679389312977,4,4,-14.3511450381679,-14.3511450381679
1888-10-01,1888,10,10.25,121.9,-3.69465648854962,-3.69465648854962,5,5,-18.0458015267176,-18.0458015267176
1888-11-01,1888,11,4.95,96.05,-3.81679389312977,-3.81679389312977,6,6,-21.8625954198473,-21.8625954198473
1888-12-01,1888,12,52.7,137.15,-3.51145038167939,-3.51145038167939,7,7,-25.3740458015267,-25.3740458015267
1889-01-01,1889,1,18.3333333333333,139.133333333333,-3.50769230769231,-3.50769230769231,8,8,-28.881738109219,-28.881738109219
1889-02-01,1889,2,36.3,167.183333333333,-2.83076923076923,-2.83076923076923,9,9,-31.7125073399883,-31.7125073399883
1889-03-01,1889,3,2.86666666666667,125.4,-3.63076923076923,-3.63076923076923,10,10,-35.3432765707575,-35.3432765707575
1889-04-01,1889,4,102.166666666667,217.316666666667,-1.6,-1.6,11,11,-36.9432765707575,-36.9432765707575
1889-05-01,1889,5,93.0666666666667,305.433333333333,1.10769230769231,0,0,0,0,0
1889-06-01,1889,6,61.2,313.933333333333,1.37404580152672,0,0,0,0,0
1889-07-01,1889,7,17.4333333333333,313.033333333333,1.98473282442748,0,0,0,0,0
1889-08-01,1889,8,53.2,329.933333333333,2.41221374045802,0,0,0,0,0
1889-09-01,1889,9,39.1333333333333,366.2,3.14503816793893,0,0,0,0,0
1889-10-01,1889,10,59.2666666666667,323.3,2.53435114503817,0,0,0,0,0
1889-11-01,1889,11,73.8666666666667,304.1,1.6793893129771,0,0,0,0,0
1889-12-01,1889,12,115.466666666667,358.366666666667,2.29007633587786,0,0,0,0,0
1890-01-01,1890,1,24.175,365.108333333333,1.96923076923077,0,0,0,0,0
1890-02-01,1890,2,160.975,472.883333333333,3.01538461538462,0,0,0,0,0
1890-03-01,1890,3,178.825,612.575,3.44615384615385,0,0,0,0,0
1890-04-01,1890,4,41.15,594.458333333333,3.44615384615385,0,0,0,0,0
1890-05-01,1890,5,95.325,615.916666666667,3.50769230769231,0,0,0,0,0
1890-06-01,1890,6,71.15,571.6,3.51145038167939,0,0,0,0,0
1890-07-01,1890,7,59.025,606.45,3.57251908396947,0,0,0,0,0
1890-08-01,1890,8,28.225,473.7,3.57251908396947,0,0,0,0,0
1890-09-01,1890,9,66.575,361.45,3.08396946564886,0,0,0,0,0
1890-10-01,1890,10,56.975,377.275,3.32824427480916,0,0,0,0,0
1890-11-01,1890,11,12.675,294.625,1.12977099236641,0,0,0,0,0
1890-12-01,1890,12,33.525,257,-0.152671755725191,0,0,0,0,0
1891-01-01,1891,1,170.24,368.215,2.03076923076923,0,0,0,0,0
1891-02-01,1891,2,21.6,361.59,2.09230769230769,0,0,0,0,0
1891-03-01,1891,3,22.44,317.455,0.861538461538461,0,0,0,0,0
1891-04-01,1891,4,76.46,336.94,1.6,0,0,0,0,0
1891-05-01,1891,5,72.44,396.705,2.52307692307692,0,0,0,0,0
1891-06-01,1891,6,93.78,456.96,3.26717557251908,0,0,0,0,0
1891-07-01,1891,7,57.16,343.88,2.29007633587786,0,0,0,0,0
1891-08-01,1891,8,63.3,385.58,2.9618320610687,0,0,0,0,0
1891-09-01,1891,9,78.14,441.28,3.51145038167939,0,0,0,0,0
1891-10-01,1891,10,40.26,405.08,3.45038167938931,0,0,0,0,0
1891-11-01,1891,11,31.94,364.58,2.9618320610687,0,0,0,0,0
1891-12-01,1891,12,32.6,303.4,1.19083969465649,0,0,0,0,0
1892-01-01,1892,1,64.18,310.42,1.04615384615385,0,0,0,0,0
1892-02-01,1892,2,8.98,256.1,-0.369230769230769,0,0,0,0,0
1892-03-01,1892,3,18.24,196.2,-1.96923076923077,-1.96923076923077,1,1,-1.96923076923077,-1.96923076923077
1892-04-01,1892,4,36.26,192.2,-2.33846153846154,-2.33846153846154,2,2,-4.30769230769231,-4.30769230769231
1892-05-01,1892,5,71.5,231.76,-1.04615384615385,-1.04615384615385,3,3,-5.35384615384615,-5.35384615384615
1892-06-01,1892,6,42.54,241.7,-0.396946564885496,0,0,0,0,0
1892-07-01,1892,7,50.16,227.68,-0.213740458015267,0,0,0,0,0
1892-08-01,1892,8,38.36,257.06,0.885496183206107,0,0,0,0,0
1892-09-01,1892,9,113.42,352.24,2.90076335877863,0,0,0,0,0
1892-10-01,1892,10,77.16,393.14,3.38931297709924,0,0,0,0,0
1892-11-01,1892,11,24.96,346.6,2.59541984732824,0,0,0,0,0
1892-12-01,1892,12,46.38,350.44,2.10687022900763,0,0,0,0,0
1893-01-01,1893,1,35.76,336.04,1.6,0,0,0,0,0
1893-02-01,1893,2,25,322.68,0.923076923076923,0,0,0,0,0
1893-03-01,1893,3,100.52,309.78,0.738461538461539,0,0,0,0,0
1893-04-01,1893,4,58.66,291.28,0.923076923076923,0,0,0,0,0
1893-05-01,1893,5,84.56,350.88,1.66153846153846,0,0,0,0,0
1893-06-01,1893,6,53.48,357.98,2.29007633587786,0,0,0,0,0
1893-07-01,1893,7,27.96,350.18,2.47328244274809,0,0,0,0,0
1893-08-01,1893,8,31.82,357,2.83969465648855,0,0,0,0,0
1893-09-01,1893,9,24.7,281.18,1.9236641221374,0,0,0,0,0
1893-10-01,1893,10,34.86,257.38,0.213740458015267,0,0,0,0,0
1893-11-01,1893,11,66.12,238.94,-0.458015267175572,0,0,0,0,0
1893-12-01,1893,12,28.98,214.44,-1.06870229007634,-1.06870229007634,1,1,-1.06870229007634,-1.06870229007634
1894-01-01,1894,1,96.4,282.88,0.123076923076923,0,0,0,0,0
1894-02-01,1894,2,60.36,311.42,0.738461538461539,0,0,0,0,0
1894-03-01,1894,3,136.2,422.92,2.64615384615385,0,0,0,0,0
1894-04-01,1894,4,126.72,514.78,3.2,0,0,0,0,0
1894-05-01,1894,5,30.54,479.2,3.07692307692308,0,0,0,0,0
1894-06-01,1894,6,52.5,502.72,3.45038167938931,0,0,0,0,0
1894-07-01,1894,7,44.22,450.54,3.20610687022901,0,0,0,0,0
1894-08-01,1894,8,38.54,428.72,3.45038167938931,0,0,0,0,0
1894-09-01,1894,9,50.74,343.26,2.7175572519084,0,0,0,0,0
1894-10-01,1894,10,47.38,263.92,0.519083969465649,0,0,0,0,0
1894-11-01,1894,11,8.7,242.08,-0.274809160305344,0,0,0,0,0
1894-12-01,1894,12,58.46,248.04,-0.396946564885496,0,0,0,0,0
1895-01-01,1895,1,104.66,308.48,0.984615384615385,0,0,0,0,0
1895-02-01,1895,2,33.66,303.6,0.615384615384615,0,0,0,0,0
1895-03-01,1895,3,0.52,253.38,-0.430769230769231,0,0,0,0,0
1895-04-01,1895,4,11.4,217.4,-1.47692307692308,-1.47692307692308,1,1,-1.47692307692308,-1.47692307692308
1895-05-01,1895,5,29.42,238.12,-0.861538461538462,0,0,0,0,0
1895-06-01,1895,6,29.34,209,-1.25190839694656,-1.25190839694656,1,1,-1.25190839694656,-1.25190839694656
1895-07-01,1895,7,22.66,127,-3.51145038167939,-3.51145038167939,2,2,-4.76335877862595,-4.76335877862595
1895-08-01,1895,8,39,132.34,-3.45038167938931,-3.45038167938931,3,3,-8.21374045801527,-8.21374045801527
1895-09-01,1895,9,39.06,170.88,-2.65648854961832,-2.65648854961832,4,4,-10.8702290076336,-10.8702290076336
1895-10-01,1895,10,41.58,201.06,-1.9236641221374,-1.9236641221374,5,5,-12.793893129771,-12.793893129771
